datetime,sunrise,sunset,conditions,cloudcover,moonphase
2017-10-02,2017-10-02T06:40:22,2017-10-02T18:21:54,Clear,0,0.44
2017-10-03,2017-10-03T06:41:26,2017-10-03T18:20:12,Clear,0.4,0.47
2017-10-04,2017-10-04T06:42:31,2017-10-04T18:18:31,Clear,2.6,0.49
2017-10-05,2017-10-05T06:43:36,2017-10-05T18:16:50,Clear,14,0.5
2017-10-06,2017-10-06T06:44:41,2017-10-06T18:15:09,"Rain, Partially cloudy",31.4,0.51
2017-10-07,2017-10-07T06:45:46,2017-10-07T18:13:29,Partially cloudy,51.3,0.52
2017-10-08,2017-10-08T06:46:52,2017-10-08T18:11:49,"Rain, Partially cloudy",77.3,0.55
2017-10-09,2017-10-09T06:47:58,2017-10-09T18:10:11,"Rain, Overcast",90.7,0.59
2017-10-10,2017-10-10T06:49:04,2017-10-10T18:08:32,Partially cloudy,28.1,0.64
2017-10-11,2017-10-11T06:50:11,2017-10-11T18:06:55,Clear,16.1,0.7
2017-10-12,2017-10-12T06:51:18,2017-10-12T18:05:18,Partially cloudy,46,0.75
2017-10-13,2017-10-13T06:52:25,2017-10-13T18:03:42,Partially cloudy,28.7,0.81
2017-10-14,2017-10-14T06:53:33,2017-10-14T18:02:06,"Rain, Partially cloudy",81.7,0.86
2017-10-15,2017-10-15T06:54:41,2017-10-15T18:00:31,"Rain, Partially cloudy",83.9,0.91
2017-10-16,2017-10-16T06:55:49,2017-10-16T17:58:58,"Rain, Partially cloudy",75.4,0.95
2017-10-17,2017-10-17T06:56:57,2017-10-17T17:57:25,Partially cloudy,22,0.98
2017-10-18,2017-10-18T06:58:06,2017-10-18T17:55:53,Clear,0,1
2017-10-19,2017-10-19T06:59:16,2017-10-19T17:54:21,Clear,13.6,1
2017-10-20,2017-10-20T07:00:25,2017-10-20T17:52:51,Clear,0,0
2017-10-21,2017-10-21T07:01:35,2017-10-21T17:51:22,Clear,0,0.01
2017-10-22,2017-10-22T07:02:45,2017-10-22T17:49:54,Clear,8.7,0.04
2017-10-23,2017-10-23T07:03:56,2017-10-23T17:48:27,Partially cloudy,44.5,0.06
2017-10-24,2017-10-24T07:05:06,2017-10-24T17:47:01,"Rain, Partially cloudy",63.5,0.1
2017-10-25,2017-10-25T07:06:18,2017-10-25T17:45:36,"Rain, Partially cloudy",89.3,0.14
2017-10-26,2017-10-26T07:07:29,2017-10-26T17:44:12,"Rain, Partially cloudy",84.3,0.18
2017-10-27,2017-10-27T07:08:41,2017-10-27T17:42:50,Clear,0,0.23
2017-10-28,2017-10-28T07:09:53,2017-10-28T17:41:29,Clear,15.1,0.28
2017-10-29,2017-10-29T07:11:05,2017-10-29T17:40:09,"Rain, Partially cloudy",56.3,0.33
2017-10-30,2017-10-30T07:12:17,2017-10-30T17:38:50,"Rain, Partially cloudy",55.7,0.37
2017-10-31,2017-10-31T07:13:30,2017-10-31T17:37:33,Clear,0,0.42
2017-11-01,2017-11-01T07:14:43,2017-11-01T17:36:17,Partially cloudy,20.5,0.45
2017-11-02,2017-11-02T07:15:56,2017-11-02T17:35:03,Partially cloudy,43.6,0.48
2017-11-03,2017-11-03T07:17:10,2017-11-03T17:33:50,Partially cloudy,42.9,0.5
2017-11-04,2017-11-04T07:18:23,2017-11-04T17:32:39,Clear,0,0.5
2017-11-05,2017-11-05T06:19:37,2017-11-05T16:31:29,"Rain, Partially cloudy",61.8,0.52
2017-11-06,2017-11-06T06:20:50,2017-11-06T16:30:21,"Rain, Partially cloudy",89,0.54
2017-11-07,2017-11-07T06:22:04,2017-11-07T16:29:15,"Rain, Partially cloudy",68.1,0.57
2017-11-08,2017-11-08T06:23:18,2017-11-08T16:28:10,"Rain, Overcast",93,0.62
2017-11-09,2017-11-09T06:24:32,2017-11-09T16:27:07,Partially cloudy,41.4,0.68
2017-11-10,2017-11-10T06:25:46,2017-11-10T16:26:05,Rain,18.8,0.73
2017-11-11,2017-11-11T06:27:00,2017-11-11T16:25:06,Clear,2.7,0.79
2017-11-12,2017-11-12T06:28:13,2017-11-12T16:24:08,"Rain, Partially cloudy",42.9,0.84
2017-11-13,2017-11-13T06:29:27,2017-11-13T16:23:12,"Rain, Partially cloudy",85.4,0.89
2017-11-14,2017-11-14T06:30:40,2017-11-14T16:22:18,"Rain, Partially cloudy",89.9,0.93
2017-11-15,2017-11-15T06:31:54,2017-11-15T16:21:26,Partially cloudy,47.1,0.96
2017-11-16,2017-11-16T06:33:07,2017-11-16T16:20:35,"Rain, Partially cloudy",66.8,0.99
2017-11-17,2017-11-17T06:34:19,2017-11-17T16:19:47,Rain,13.5,1
2017-11-18,2017-11-18T06:35:32,2017-11-18T16:19:01,"Rain, Partially cloudy",25.3,0
2017-11-19,2017-11-19T06:36:44,2017-11-19T16:18:17,"Rain, Partially cloudy",49.7,0
2017-11-20,2017-11-20T06:37:55,2017-11-20T16:17:35,Partially cloudy,37.1,0.02
2017-11-21,2017-11-21T06:39:06,2017-11-21T16:16:55,Clear,2.9,0.04
2017-11-22,2017-11-22T06:40:17,2017-11-22T16:16:17,"Rain, Partially cloudy",73.7,0.07
2017-11-23,2017-11-23T06:41:27,2017-11-23T16:15:41,Clear,6.5,0.11
